,vref27,i_temp27,name,type,time,OK
0,1.192712,3.851205,tran_LayGtKttmmTtVtNosweep_29,Lay,Mon Apr 28 21:35:17 2025,True
1,1.18771,3.754659,tran_LayGtKttmmTtVtNosweep_28,Lay,Mon Apr 28 21:35:16 2025,True
2,1.247254,4.393047999999999,tran_LayGtKttmmTtVtNosweep_27,Lay,Mon Apr 28 21:35:15 2025,True
3,1.235223,3.8808979999999997,tran_LayGtKttmmTtVtNosweep_26,Lay,Mon Apr 28 21:35:14 2025,True
4,1.206649,4.05317,tran_LayGtKttmmTtVtNosweep_25,Lay,Mon Apr 28 21:35:13 2025,True
5,1.116461,3.186776,tran_LayGtKttmmTtVtNosweep_24,Lay,Mon Apr 28 21:35:11 2025,True
6,1.1296,3.455202,tran_LayGtKttmmTtVtNosweep_23,Lay,Mon Apr 28 21:35:10 2025,True
7,1.284619,4.512225,tran_LayGtKttmmTtVtNosweep_22,Lay,Mon Apr 28 21:35:09 2025,True
8,1.102351,3.154509,tran_LayGtKttmmTtVtNosweep_21,Lay,Mon Apr 28 21:35:08 2025,True
9,1.10714,3.556016,tran_LayGtKttmmTtVtNosweep_20,Lay,Mon Apr 28 21:35:07 2025,True
10,1.164396,3.649187,tran_LayGtKttmmTtVtNosweep_19,Lay,Mon Apr 28 21:35:05 2025,True
11,1.187106,3.773237,tran_LayGtKttmmTtVtNosweep_18,Lay,Mon Apr 28 21:35:04 2025,True
12,1.219551,3.939773,tran_LayGtKttmmTtVtNosweep_17,Lay,Mon Apr 28 21:35:03 2025,True
13,1.312615,4.701986,tran_LayGtKttmmTtVtNosweep_16,Lay,Mon Apr 28 21:35:02 2025,True
14,1.149896,3.524798,tran_LayGtKttmmTtVtNosweep_15,Lay,Mon Apr 28 21:35:01 2025,True
15,1.171674,3.760669,tran_LayGtKttmmTtVtNosweep_14,Lay,Mon Apr 28 21:34:59 2025,True
16,1.180782,3.7049279999999998,tran_LayGtKttmmTtVtNosweep_13,Lay,Mon Apr 28 21:34:58 2025,True
17,1.203311,3.9272180000000003,tran_LayGtKttmmTtVtNosweep_12,Lay,Mon Apr 28 21:34:57 2025,True
18,1.111928,3.32438,tran_LayGtKttmmTtVtNosweep_11,Lay,Mon Apr 28 21:34:56 2025,True
19,1.227239,3.9098500000000005,tran_LayGtKttmmTtVtNosweep_10,Lay,Mon Apr 28 21:34:55 2025,True
20,1.270369,4.292323,tran_LayGtKttmmTtVtNosweep_9,Lay,Mon Apr 28 21:34:53 2025,True
21,1.160175,3.733275,tran_LayGtKttmmTtVtNosweep_8,Lay,Mon Apr 28 21:34:52 2025,True
22,1.177744,3.753025,tran_LayGtKttmmTtVtNosweep_7,Lay,Mon Apr 28 21:34:51 2025,True
23,1.226521,4.073735,tran_LayGtKttmmTtVtNosweep_6,Lay,Mon Apr 28 21:34:50 2025,True
24,1.177047,3.803393,tran_LayGtKttmmTtVtNosweep_5,Lay,Mon Apr 28 21:34:49 2025,True
25,1.1715,3.73823,tran_LayGtKttmmTtVtNosweep_4,Lay,Mon Apr 28 21:34:47 2025,True
26,1.110035,3.441916,tran_LayGtKttmmTtVtNosweep_3,Lay,Mon Apr 28 21:34:46 2025,True
27,1.1579,3.4613479999999996,tran_LayGtKttmmTtVtNosweep_2,Lay,Mon Apr 28 21:34:45 2025,True
28,1.309762,4.823739,tran_LayGtKttmmTtVtNosweep_1,Lay,Mon Apr 28 21:34:44 2025,True
29,1.173271,3.688327,tran_LayGtKttmmTtVtNosweep,Lay,Mon Apr 28 21:34:43 2025,True
